id,lake,district,lon,lat,basin,downstream_river,downstream_districts,area_km2,trend,past_glof,notes,references
imja,Imja Tsho,Solukhumbu,86.930,27.899,Koshi,Imja Khola / Dudh Koshi,"Solukhumbu;Khotang;Udayapur;Saptari",1.35,growing,none recorded,"One of the fastest-growing glacial lakes in the Himalaya; outlet lowered ~3 m by a 2016 Nepal Army works project to reduce risk. Classic potentially dangerous glacial lake (PDGL).","ICIMOD/UNDP 2020 PDGL inventory; Bajracharya et al. 2020"
tsho_rolpa,Tsho Rolpa,Dolakha,86.475,27.870,Koshi,Rolwaling Khola / Tama Koshi,"Dolakha;Ramechhap;Sindhuli;Udayapur",1.54,growing,none recorded,"Largest glacial lake in Nepal; siphon/gated outlet built 2000 to lower level ~3 m; early-warning system installed downstream.","ICIMOD/UNDP 2020; Rana et al. 2000"
thulagi,Thulagi (Dona),Manang,84.485,28.492,Gandaki,Dona Khola / Marsyangdi,"Manang;Lamjung;Tanahu;Nawalpur",0.94,growing,none recorded,"PDGL feeding the Marsyangdi; large hydropower assets downstream.","ICIMOD/UNDP 2020; Mool et al. 2001"
lower_barun,Lower Barun,Sankhuwasabha,87.090,27.798,Koshi,Barun Khola / Arun,"Sankhuwasabha;Bhojpur;Dhankuta;Sunsari",1.79,growing,none recorded,"Among the highest-priority PDGLs identified in the 2020 inventory; very large volume.","ICIMOD/UNDP 2020"
dig_tsho,Dig Tsho,Solukhumbu,86.585,27.885,Koshi,Langmoche Khola / Bhote Koshi (Dudh Koshi),"Solukhumbu;Khotang;Udayapur",0.30,drained 1985,1985-08-04,"Moraine-dam failure on 4 Aug 1985 destroyed the nearly complete Namche small hydropower plant, bridges and farmland ~90 km downstream. Reference event for Nepal GLOF risk.","Vuichard & Zimmermann 1987; ICIMOD"
lumding,Lumding Tsho,Solukhumbu,86.630,27.740,Koshi,Lumding Khola / Dudh Koshi,"Solukhumbu;Khotang;Udayapur;Saptari",0.83,growing,none recorded,"PDGL in the Dudh Koshi basin.","ICIMOD/UNDP 2020"
chamlang_south,Chamlang Tsho (South),Sankhuwasabha,86.930,27.780,Koshi,Hongu / Arun,"Sankhuwasabha;Bhojpur;Dhankuta;Sunsari",1.77,growing,none recorded,"High-volume PDGL in the Hongu/Arun system.","ICIMOD/UNDP 2020"
nagma,Nagma Pokhari,Taplejung,87.760,27.700,Koshi,Kabeli / Tamor,"Taplejung;Panchthar;Dhankuta;Sunsari",0.60,growing,none recorded,"PDGL in the Tamor basin, far-eastern Nepal.","ICIMOD/UNDP 2020"
west_chamjang,West Chamjang,Sankhuwasabha,87.200,27.760,Koshi,Chamjang / Arun,"Sankhuwasabha;Bhojpur;Sunsari",0.90,growing,none recorded,"Arun-basin PDGL.","ICIMOD/UNDP 2020"
langtang_area,Langtang / Bhote Koshi headwaters,Rasuwa,85.620,28.230,Gandaki,Langtang Khola / Bhote Koshi / Trishuli,"Rasuwa;Nuwakot;Dhading;Chitawan",,unstable ice/rock,2026-08-26,"Not a classic moraine-dammed lake, but the 26 Aug 2026 ice-rock avalanche briefly dammed the Bhote Koshi then breached, producing a debris flow / flash flood ~100 km downstream. Corridor flagged for cascading cryosphere hazard.","USGS 2026; UN OCHA 2026"
